Rareza,Objeto,Descripcion
Épico,Espada del Dragón,Una hoja de obsidiana que exhala un tenue vapor ígneo. El pomo es una garra de dragón que sujeta un rubí palpitante.
Épico,Armadura Celestial,Placas de metal blanco tan ligeras como la seda. Refleja un cielo estrellado que no corresponde al lugar donde te encuentras.
Épico,Anillo del Archimago,Una banda de platino con runas que fluyen como mercurio. El aire a su alrededor se siente cargado de electricidad estática.
Raro,Arco Élfico,Tallado en madera de fresno vivo que nunca se astilla. Su cuerda es casi invisible y emite una nota musical al tensarse.
Raro,Botas de Velocidad,Botines de cuero de ala de murciélago con pequeñas alas de bronce en los tobillos que vibran cuando el usuario corre.
Raro,Capa de Sombras,Una tela hecha de oscuridad tejida. Los bordes de la capa parecen disolverse en humo negro cuando entras en las sombras.
Raro,Amuleto de Protección,"Un medallón de hierro bendecido. Al llevarlo, sientes una extraña presión cálida en el pecho, como un escudo invisible."
Común,Poción de Curación,Un frasco de cristal grueso lleno de un líquido rojo efervescente que huele a canela y bayas silvestres.
Común,Daga de Aventurero,"Una hoja de acero bien equilibrada con el mango envuelto en cuero gastado. Fiable, afilada y con muescas de uso."
Común,Escudo de Madera,Roble reforzado con bandas de hierro. Tiene marcas de hachazos que cuentan historias de batallas pasadas.
Común,Antorcha,"Un palo de madera tratada con resina y brea, lista para devorar la oscuridad con una llama persistente."
Común,Cuerda,"Diez metros de cáñamo trenzado, áspero al tacto pero lo suficientemente fuerte como para sostener a un gigante."
Común,Ración de Viaje,"Carne seca, pan de centeno duro y frutos secos envueltos en tela encerada. Sabe a pura supervivencia."
